# software=NimbleScan   version=xxx  imagefile=20742_PMT1.tif       designfile=MOD_2003-12-05_SUZ12_1in2.ndf      designname=MOD_2003-12-05_SUZ12_1in2  designid=xxx   date=xxx Dec 05 10:17:14 CDT 2003   border=0        ul_x=xxx     ul_y=xxx    ur_x=xxx   ur_y=xxx     lr_x=xxx   lr_y=xxx   ll_x=xxx     ll_y=xxx       score=xxx     qcscore=xxx   locallyaligned=no       auto=yes
IMAGE_ID	GENE_EXPR_OPTION	SEQ_ID	PROBE_ID	POSITION	X	Y	MATCH_INDEX	PM	MM
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021781	1	269	78	36601046	613.22	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021783	16	682	779	36601047	841.67	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021785	31	92	405	36601048	659.56	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021787	46	219	608	36601049	494.44	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021789	61	217	418	36601050	469.33	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021791	76	147	406	36601051	544.11	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021793	91	376	317	36601052	532.67	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021795	106	299	288	36601053	684.89	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021797	121	280	31	36601054	756.78	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021799	136	468	927	36601055	734.78	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021801	151	341	404	36601056	757.22	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021803	166	535	50	36601057	685.22	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021805	181	31	106	36601058	626.78	0
20742_PMT1	FORWARD1	SUZ120001S0000034	SUZ100P0000021807	196	193	320	36601059	670	0
