# software=NimbleScan	version=2.2.14	imagefile=I:\iceland-mirror\New_image_files\ORDER_ID1791_Rieck_RZPD\56577_635.tif	designfile=I:\NimbleScan\pipeline\Design_files\2005-07-28_Mouse_heart_ChIP.ndf	designname=2005-07-28_Mouse_heart_ChIP	designid=2389	date=Fri Aug 26 10:17:14 CDT 2005	border=0	ul_x=82.240	ul_y=23.110	ur_x=2677.430	ur_y=26.510	lr_x=2672.830	lr_y=3493.430	ll_x=77.530	ll_y=3490.320	score=0.180	qcscore=0.243	locallyaligned=no	auto=yes
IMAGE_ID	GENE_EXPR_OPTION	SEQ_ID	PROBE_ID	POSITION	X	Y	MATCH_INDEX	SEQ_URL	PM	MM
56577_635	BLOCK1	chr11:20230890-20230990	CHR11P020230890	20230890	672	600	39853667	NA	18994.89	0
56577_635	BLOCK1	chr11:20231216-20231315	CHR11P020231216	20231216	541	603	39867116	NA	17016.11	0
56577_635	BLOCK1	chr11:20231584-20233783	CHR11P020231584	20231584	592	812	40048471	NA	17485.67	0
56577_635	BLOCK1	chr2:28894632-28896831	CHR2P028894632	28894632	388	48	39974238	NA	7915.89	0
56577_635	BLOCK1	chr4:56640054-56642253	CHR4P056640054	56640054	78	838	39726901	NA	3795.33	0
56577_635	BLOCK1	chr4:90182945-90185144	CHR4P090182945	90182945	366	280	39939651	NA	8212.33	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056102656	56102656	734	916	39725855	NA	1572.44	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056106873	56106873	408	86	39740169	NA	1018.56	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056105546	56105546	538	214	39741341	NA	1715.67	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056103591	56103591	344	946	39741874	NA	37507.89	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056107141	56107141	273	7	39742067	NA	2454.44	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056102401	56102401	204	616	39745204	NA	1809.22	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056107396	56107396	736	952	39750975	NA	4628.89	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056101891	56101891	607	461	39752515	NA	1838.11	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056108076	56108076	51	939	39756854	NA	11160.22	0
56577_635	BLOCK1	chr8:56101891-56108604	CHR8P056104101	56104101	491	301	39758382	NA	25885.78	0
